Text,Category
yeye ni mrembo sana,pos
Tunaipenda hii ngoma sana,pos
yani nahisi mapenzi hadi kwa miguu😘 naipenda ngoma 2019,pos
Waah hii ngoma ilikua imeshika nikiwa darasa la 6 😂😂yanirudisha nyuma kweli..genge hadi mwisho wangu,pos
Safi mgenge 2018 na hii ngoma bado ni moto,pos
"Kasha nzuri, Thamani bora.",pos
Nzuri kwa taya.,pos
Nilipenda alivyokuwa akicheka,pos
"Wimbo mzuri sana, unafundisha kwa hawa warembo wetu wa kileo majivuno kibao",pos
wimbo wa ukweli . kama una goja 2019 nipe like,pos
"Huu wimbo ni kama vile umetolewa jana. Wimbo huu una maudhui makubwa tena ya kueleweka vizuri. MUNGU atuhurumie, Amen",pos
"Asante kwa nyote ambao walichukua wakati wao kuandika kwenye video hii..,shukrani sana ndugu zanguni...",pos
Ikiwa wewe ni mmiliki wa Razr ... lazima uwe na hii!,pos
Na ubora wa sauti ni nzuri,pos
Alivutiwa sana wakati wa kwenda kutoka kwa betri ya asili hadi betri iliyopanuliwa.,pos
Ubora mzuri sana,pos
sauti tamu sana dady rudi studio tena umepotea sana,pos
Inafanya kazi nzuri!,pos
waaaaa mtoto mzuriii...,pos
ndio napenda wimbo.. ujumbe mzuri.,pos
Hiyo sauti!!!nadhani watanzania wengi wana sauti za kushangaza,pos
Mungu amekubariki sana Aslay 2020 mko wapi,pos
"Haki napenda hii wimbo...usikufe moyo, wimbo mzuri",pos
Mtoto ana talanta sana,pos
Krismasi njema,pos
valentines zenye furaha,pos
Sikukuu njema,pos
upendo wa mungu baba ni wa maajabu sana.,pos
upendo hauna chuki,pos
Mtandao wa kushangaza wa 4G katika mji wa Mombasa pamoja na mipango nzuri sana na ya bei rahisi.,pos
Wakenya nawapenda sana kutoka Tz naombeni Like zenu,pos
Asanteni sana majirani wetu kutoka Kenya.,pos
Kazi nzuri!,pos
Hii ni sinema ya kushangaza.,pos
Hii ni filamu bora.,pos
Yeye ni hazina ya kitaifa.,pos
Maonyesho ya angani yalifanywa vizuri.,pos
Ilikuwa pia usawa sahihi wa vita na upendo.,pos
Kris Kristoffersen ni mzuri kwenye sinema hii na kweli hufanya tofauti.,pos
Filamu nzuri na mkurugenzi mkubwa!,pos
Kwa kweli hii ni moja ya kumbukumbu bora ambayo nimeona wakiangalia uhusiano wa kifamilia na ndoa.,pos
Hii ni sinema nzuri tu.,pos
Nyota 10 kati ya 10.,pos
Tukio bora katika sinema ilikuwa wakati Gerardo anajaribu kupata wimbo ambao unaendelea kupitia kichwa chake.,pos
Na penda,pos
"Ni nzuri sana, ningeipendekeza kwako",pos
hii ni ofa nzuri,pos
Shukrani sana,pos
Asante sana mwalimu kwa somo nzuri,pos
"Aliona sinema leo na alidhani ni juhudi nzuri, ujumbe mzuri kwa watoto.",pos
Na hao bundi watoto walikuwa wa kupendeza,pos
"Sinema ilionesha Florida nyingi saa bora, ikaifanya ionekane ya kupendeza sana.",pos
Nyimbo Zilikuwa Nzuri Zaidi,pos
Siwezi kufikiria filamu nyingine ambayo kitu muhimu sana kinatokea kila dakika nyingine.,pos
"Kwa maneno mengine, kiwango cha yaliyomo katika filamu hii inatosha kujaza filamu zingine kadhaa kwa urahisi.",pos
Je! Mtu yeyote katika akili zao sahihi anaweza kuuliza chochote zaidi kutoka kwenye sinema kuliko hii?,pos
"Ni aina ya juu kabisa, ya juu zaidi ya sinema inayowezekana.",pos
"Ndio, filamu hii inahitaji idadi kubwa ya utatuzi wa -puzzle, lakini vipande vinafaa pamoja kuunda picha nzuri.",pos
Hii ni nambari ya kwanza ya th bora mfululizo.,pos
Inastahili upendo mkali.,pos
"Kuna viwango vikubwa, wahusika wasioweza kufunguliwa ... ni mchezo mkubwa tu.",pos
Tumia pesa zako kwenye mchezo huu.,pos
Hii ndio aina ya pesa inayotumiwa vizuri.,pos
"Kweli, picha hizo zilikuwa nzuri wakati huo.",pos
"Kama wanasema katika Canada, huu ni mchezo wa kufurahisha, aye.",pos
Huu mchezo unatumbuiza,pos
"Inunue, icheze, jitumbuize nayo , ipende",pos
Ni UAHISI kamili.,pos
"Filamu inafanikiwa licha, au labda kwa sababu, bajeti ndogo.",pos
"Ninafurahi filamu haikuenda kwa chaguo dhahiri zaidi, kama filamu ndogo hakika ingekuwa nayo.",pos
"Kwa kuongezea kuwa na moja ya nyimbo nzuri zaidi ambayo imewahi kuandikwa, Kanada ya Ufaransa pia inajivunia moja ya wanawake wakubwa zaidi wanaowahi kuchukua neema kwenye skrini.",pos
Ni ngumu kutokuanguka kichwa-juu-visigino kwa upendo na msichana huyo,pos
"Wahusika bora, mstari wa hadithi bora, maonyesho bora.",pos
Anne Heche alikuwa akishawishi kabisa.,pos
Maonyesho ya Sam Shepard ya baharini ya mashoga yalikuwa mazito.,pos
Nadhani Tom Hanks ni muigizaji mzuri.,pos
Nilifurahia kusoma kitabu hiki kwa watoto wangu wakati walikuwa wadogo.,pos
Kuna mambo kadhaa kwa ujumla ndani yake.,pos
"Ikiwa unataka sinema ambayo sio mbaya lakini inakupa baridi, hii ni chaguo nzuri.",pos
Alexander Nevsky ni filamu nzuri.,pos
"Kwa jumla, filamu hiyo ni ya kuvutia na ya kusisimua.",pos
Upepo na Simba zimeandikwa vizuri na zimetenda kwa vitendo,pos
"Kwa kweli, yeye ni wa maajabu",pos
Ni aina ya kweli.,pos
Kwa kweli inafaa kuangalia.,pos
Maonyesho ya mara nyingi huwa ya kuchekesha na mara kwa mara yanagusa wahusika wanapotathmini maisha yao na wapi wanaenda,pos
"Ikiwa unatafuta sinema na filamu ya kutisha, muziki mzuri (pamoja na toleo la Shirley Jones la ""Njia Unaonekana Usiku""), na mwisho ulioinua, jaribu hii",pos
"Kitu pekee ambacho kilistahili kutazamwa ilikuwa mazingira na nyumba, kwa sababu ni nzuri.",pos
Sidhani utasikitika,pos
Lakini kwa suala la uandishi ni safi sana na ujasiri,pos
Niliipenda sana hiyo.,pos
10-Oct,pos
Niliipenda sana hii sinema,pos
Ningemshauri mtu yeyote aende akaione,pos
"Bado, napenda sinema hii kwa uwezeshaji wa wanawake; hakuna sinema za kutosha huko nje kama hii.",pos
Utendaji bora kutoka kwa Bi,pos
Ni vizuri pia kuona kwamba mwandishi mashuhuri wa skrini Frances Marion hajakosa hatua inayoenda kimya hadi sauti,pos
Utaipenda,pos
nimeipenda,pos
tumeipenda,pos
Sinema ambayo nilipokea ilikuwa filamu bora kwa miaka yake,pos
John Wayne alifanya kazi ya kushangaza kwa kuwa mchanga sana kwenye tasnia ya sinema,pos
Utendaji wake ni fikra tu.,pos
"Maisha ya Ray Charles yalitoa nyenzo bora za kibinadamu kwa filamu, ambayo inaendelea zaidi ya kuwa sinema nyingine tu juu ya mwanamuziki",pos
Hitchcock ni mkurugenzi mzuri.,pos
"Pili, Hitchcock alijitosheleza sana na kusisimua sinema",pos
"Nilivutiwa kabisa na muziki, densi ... kila kitu",pos
"Nilipoiangalia sinema hii mara ya kwanza, katika miaka ya 80, niliipenda.",pos
"Filamu inayo watendaji wakuu, mkurugenzi mkuu, mada muhimu - angalau mada muhimu, sauti ya chini ya uwongo wa ulimwengu wa hamsini, picha za angani ambazo zinapaswa kufurahisha hisia na mawazo, na wahusika juu ya ambayo mtu anaweza utunzaji mkubwa",pos
"Ikiwa nia nzuri ilifanya filamu kuwa nzuri, basi filamu hii inaweza kuwa moja ya filamu kubwa kabisa iliyowahi kufanywa",pos
"Bado, ninafurahiya kuiangalia.",pos
Hiyo ilikuwa nzuri.,pos
Hiyo ilikuwa ya kuchekesha,pos
"Vitu vyote kuzingatiwa, kazi imefanywa vizuri.",pos
"Sinema moja bora zaidi ya wakati wowote!, Na moja ambayo haieleweki, hata na mexican wenyewe, haijalishi wamegundulika jinsi gani",pos
"Ni safu ya maarufu kama mchezo wa kuigiza-uhalifu-wa-uhalifu, maonyesho ya ajabu na Belmondo na Lino Ventura",pos
"Usikivu unaopewa kila mhusika, na michoro tata za kisaikolojia, uaminifu wa kuelezea, hila, upendo, na tumaini, ni kubwa",pos
Kila kitu kuhusu filamu hii ni ya kushangaza sana.,pos
"Ni mchezo bora wa kuigiza, mtu mzuri, na filamu bora.",pos
Niliifurahia sana wakati Christopher Eccleston alipochukua udhibiti wa TARDIS na mwendelezo wa safu,pos
Kuna sehemu nyingi nzuri,pos
Kieslowski haachi kamwe kunishangaza,pos
Kumalizika kwa kushangaza kwa uwezekano wa TAKATIFU ​​BORA ya wakati wote!,pos
"Yeye ni mmoja wa wakurugenzi niwapendao, na mmoja wa wakurugenzi wenye talanta zaidi katika historia ya sinema",pos
Sinema tatu za kupendeza zaidi ambazo nimewahi kuona,pos
