Text,Category
Team 2019...merimera alikuwa takataka,neg
Sijafurahishwa,neg
Kubuni Dosari?,neg
"Bila kusema, nilipoteza pesa zangu.",neg
Sema kupoteza pesa na wakati,neg
"Ubunifu ni isiyo ya kawaida sana, kwani kipande cha sikio sio kizuri sana hata.",neg
akili yako imeoza,neg
Aki si maisha ni magumu,neg
Enyewe safaricom ni wezi,neg
Mtandao duni. hata line yao niliweka nyuma ya simu yangu...natumia airtel,neg
Mtandao wenu wa 4g ni mbaya sana siku hizi tafadhali rekebisheni,neg
Safaricom si muache kucheza na mkopo wa nambari yangu tafadhali. mnanifilisisha,neg
hauna haki,neg
"nyinyi mimi nilinunua laini yenu miaka 20 iliyopita, hata peremende sijawai pata, gai hata mtu akioa bibi miaka hiyo yote sianamzalia...heeeee , nengereni cia maitho, kari gani",neg
Siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa.,neg
Ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo.,neg
Muziki mdogo sana au kitu chochote cha kuzungumzia,neg
Bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba  haha...,neg
Nimepoteza masaa mawili,neg
Inaweza Kutabirika kidogo.,neg
sikuipenda mimi,neg
mimi sipenda ujinga,neg
"Ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu, na ilikuwa bajeti ya chini kama unavyoweza kuona wazi.",neg
Picha ni mbali na sehemu bora ya mchezo.,neg
Leo picha ni ujinga.,neg
Hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,neg
Sikuvutiwa hata kidogo.,neg
Haisisimui hata kidogo,neg
Lakini hata Carrell mwenye talanta hawezi kuokoa hii.,neg
Hadithi yenyewe ni ya kutabirika tu na ya uvivu.,neg
"Lakini chochote kile ambacho kiliwagharimu sana, hakikuitafsiri kwa ubora, hiyo ni kwa hakika.",neg
"Kwa hasi, ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini",neg
"Muda mrefu, mwepesi na hauna maana.",neg
"Lakini napendekeza subiri juhudi zao za baadaye, acha hii iende.",neg
Nilikatishwa tamaa katika sinema.,neg
Hakukuwa na joto au haiba yoyote kwa picha hizi au wahusika.,neg
Sinema hii inaoga kabisa kwenye mishipa yangu,neg
"Na, kwa uaminifu kabisa, mara nyingi sio nzuri sana.",neg
"Mara nyingi mazungumzo hayafuati kabisa kutoka kwa mstari mmoja hadi mwingine, au inafaa mazingira",neg
"Nisingesema wanafaa masaa 2 ya wakati wako, ingawa",neg
Shida ilikuwa maandishi.,neg
Ilikuwa ya kutisha,neg
Tuhuma tu ambayo nilikuwa nahisi ilikuwa ni kufadhaika kwa jinsi wasichana walivyowashukia,neg
HAKUNA kitu cha kuaminika juu yake kabisa.,neg
"Kwa kweli, baada ya Klabu ya Pamba na Kutokuwa mwaminifu, ilikuwa ni aibu kuona Lane na Gere kwenye filamu hii, kwa sababu ni MBAYA",neg
"Kitendo kilikuwa kibovu, mazungumzo hayakuwa ya kina na ya udanganyifu.",neg
Inasikitisha sana,neg
Kuelekeza na sinema sio nzuri kabisa.,neg
Saa na nusu napenda ningeweza kurudisha,neg
Uongozaji unaonekana kuwa wa kawaida sana.,neg
Na kwa ujumla mistari na njama ni dhaifu kuliko sehemu ya wastani.,neg
"Walakini, hii haikufanya kwa ukweli wa jumla, hii ilikuwa sinema ya kuchosha sana.",neg
Kulikuwa na dakika kadhaa kwenye sinema ambazo hazihitaji tu kuwa hapo na zilikuwa zikisonga polepole.,neg
"Siwezi kuamini kuwa waigizaji walikubali kufanya ""filamu"" hii.",neg
"Hii ilikuwa kumbukumbu mbaya ya ""Harusi ya Marafiki Wangu Bora""",neg
Sikuweza kustahimili hata kuitazama kwa muda mrefu sana kwa kuogopa kupoteza IQ,neg
"Sinema hii ni janga safi, hadithi ni ya kijinga na uhariri ndio mbaya kabisa ambao nimeona, unachanganya sana.",neg
"Ni kupoteza saa na nusu ya muda, kufuatia rundo la watu wazuri sana kulia na kulia juu ya maisha",neg
"Niliona ""Mirrormask"" jana usiku na ilikuwa uzoefu usioridhisha",neg
"Kaimu ni mbaya, na uandishi ni mbaya zaidi.",neg
Nililipa sana,neg
"Tena, hakuna mpango hata",neg
Hakuna mpango wowote,neg
Mbaya,neg
HAKUNA KIWANGO AU HABARI !!,neg
Nachukia sinema kama hizo,neg
Namaanisha hii kwa njia mbaya,neg
"Hii ni filamu mbaya, iliyo na uandishi mbaya, na watendaji wazuri .... katuni mbaya iliyotengenezwa na Paul Haggis kwa watu ambao hawawezi kushughulikia chochote isipokuwa viboko vya ujasiri katika kusimulia hadithi .... picha iliyochorwa na makrayoni.",neg
Ilikuwa jambo nzuri kwamba tikiti hugharimu tu dola tano kwa sababu ningekuwa wazimu ikiwa ningelipa $ 7.50 ili kuona ujuaji huu.,neg
Kila kitu ni cha kutisha.,neg
Filamu hii haina huduma za kukomboa,neg
Hadithi ni zaidi ya kijinga,neg
Watoto wanachukiza.,neg
Nitasema tena - hii ni mateso.,neg
"Huo kabisa bila sifa yoyote, hii ni sawa na kuteswa",neg
Mtu anayeongoza hana dhamana.,neg
Labda kungekuwa na maelezo ya kuridhika kwa udhalimu huu.,neg
Sio safari ya kupendeza ya kujitambua,neg
"Ndio, ni mbaya sana",neg
Hakuna chochote cha kupendekeza,neg
"Sinema hii iliteseka kwa sababu ya uandishi, ilihitaji tuhuma zaidi",neg
Sinema hii ni mbaya,neg
Mbaya sana,neg
Kwa kweli hii ni moja wapo ya zile mbaya.,neg
Uwepo wake kwenye skrini uliangaza mawazo hata kama kulikuwa na watendaji wengine wakuu kwenye skrini na yeye,neg
Sioni kweli jinsi mtu yeyote angefurahiya sinema hii,neg
"Labda ingekuwa bora ikiwa mkurugenzi hangetumia wakati mwingi wa sinema kuonyesha kazi yake mwenyewe ya sanaa, ambayo sio ya kushangaza sana",neg
Usipoteze wakati wako.,neg
"Walakini, hivi majuzi nilitazama kitu hicho tena kwenye DVD, na nilipigwa macho kabisa na jinsi hadithi ya hadithi ilikuwa ya kijinga - jinsi ilivyokuwa na mashimo, kutokubaliana na - kusema ukweli - ujangili mwingi - na jinsi dansi hiyo ilivyokuwa.",neg
Mishima haifurahishi sana,neg
Kwa hivyo hadithi nzima haina nguvu fulani.,neg
Kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,neg
Maendeleo ya mhusika pia hayapatikani kwa kina.,neg
"Ninamaanisha, katika ulimwengu wa kweli, asingeweza kuingia kwenye kumbukumbu hiyo ya ballet ... Jambo lote lilikuwa ni ujinga kabisa",neg
"Mazungumzo mabaya zaidi, yaliyo wazi kabisa ... ningeweza kuendelea na kuendelea",neg
"Kwa kusikitisha, filamu hiyo inashindwa",neg
"Sinema haina upendeleo wa kuona, mchezo wa kuigiza, usemi wa hisia, na maadhimisho ya uzalendo ambao unasisitiza hadithi hiyo",neg
Hakuna mwigizaji ambaye ametumika vibaya zaidi kwamba Juni Allison kwenye sinema hii,neg
"Kwa bahati mbaya, hii ni sinema mbaya ambayo ni mbaya kabisa",neg
"Lakini sinema hii sio ya kuchekesha, ukizingatia ujinga wake.",neg
Nilitoka ndani nikisikia hasira,neg
Sina uhakika alikuwa anajaribu kufanya nini na filamu hii,neg
Ikiwa ilikuwa kugeuza hisia zangu za siku njema kuwa usiku wa kumbukumbu zinazosumbua kuliko nadhani alifanikiwa,neg
"Ililazimishwa, kama kila kitu kwenye sinema hii",neg
Nilipoiona kwenye ukumbi wa michezo nilidhani nitakuwa mgonjwa.,neg
Ukadiriaji: 1 kati ya 10,neg
Kwa kweli nilitapika nikitazama filamu hii.,neg
Natafsiri sinema kwa ajili ya kuishi na hii ni sinema ya kwanza katika uzoefu wangu wa miaka 5 wa kufanya kazi ambao nimepata kukosoa akili yangu,neg
"Kwa wale wanaopata sinema hii kuwa ya akili au hata ya ustadi, naweza kusema tu - ni akili yako na fikira zako waziwazi ulizoea kujaribu na kufanya hisia za jaribio hili la kusikitisha (ni kwa asili yetu ya kibinadamu kujaribu na kufanya hisia za mambo)",neg
"Lakini wakati mtu anajitahidi kwa ukuu na ushairi, lakini akiwasilisha hadithi ya matope (na mara nyingi ni ujinga), kundi la visa tofauti, mazungumzo ya udanganyifu ... Halafu unapata aina mbaya zaidi ya sinema ambayo mhakiki wengine alielezea kwa usahihi kama ""dharau"" ujanja ",neg
"Jambo moja zaidi: Naweza kuvumilia usahihi wa kisiasa vizuri, mimi ni wote kwa uhuru wa kisanii na kusimamishwa kwa kutokuamini, lakini tabia ya kike ya Slavic ilikuwa tu sana.",neg
Mipangilio ya Malta ni kavu na tasa kama mazungumzo,neg
Sinema hii ni mbaya,neg
"Kwa wale ambao hawajaiona, usipoteze wakati wako",neg
Kuiita sinema hii mchezo wa kuigiza ni ujinga!,neg
Nilianza kutizama hii lakini sikuamini mhusika yeyote,neg
Hasa uhusiano kati ya msaidizi wa mkate na kijakazi haukufanya kazi kwangu kabisa,neg
nimefurahi sikulipa kuiona.,neg
Sikucheka au hata kutabasamu mara moja,neg
Kila kitu kuhusu sinema hii ni kijinga.,neg
"Hata kama unapenda sinema mbaya, usitazame sinema hii.",neg
Ni aibu.,neg
"Wahusika mpya hawakuwa wa kukumbukwa kabisa, na nilijikuta nikisahau ni nani",neg
Nilihisi kana kwamba kwenda kwake Ireland hakukufanya chochote.,neg
"Haikuniogopesha,wala kunishtua , au kunifanya niwe na huruma kwa wahusika; ilikuwa ya kukasirisha tu",neg
"Kulikuwa na majaribio machache ya huruma kuwapa wahusika kina kirefu, lakini haikufanya kazi kabisa katika mpango wote uliobaki",neg
"Ikiwa utaiona, labda unapaswa kuiacha kwenye rafu.",neg
Lucy Bell ni juu sana kuliko ujinga huu na kwa yeye kuzama kwa hali ya chini hii ni ya kufadhaisha.,neg
Karibu nyimbo zote kwenye Cover Girl ni za zamani na sio za kufurahisha.,neg
Jambo la kuchukiza juu ya 'Msichana wa Jalada' ni njia ambayo Rita Hayworth amewekwa juu ya msingi,neg
"Kwa bahati mbaya, 'Cover Girl' ni kielelezo cha jinsi Hollywood ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha.",neg
Mbaya zaidi kuliko Ticker!,neg
& Sinema hiyo ilikuwa mbaya.,neg
Sikuweza kuzichukua kwa uzito.,neg
"nilipenda majengo 3 ama 4 tu yaliyotumiwa, labda maeneo kadhaa , & duni hummh!",neg
"Natamani ningeweza kuingiza maadili hasi, admins?",neg
"Seti ni mbaya sana, haingeonekana kuwa nje ya mahali kwenye sehemu ya Thunderbirds.",neg
"Matumizi ya mwendo-polepole hujirudia yenyewe kwenye sinema lakini imeungwa mkono na kaimu mbaya (na mbaya ni neno fadhili hapa), hakuna mwendelezo, picha ambazo zimetupwa bila sababu yoyote, magari ambayo yalionekana kama yalitengenezwa kutoka kwa sanduku la Corn Flakes na mtindo wa kuelekeza uliopakana na ujinga.",neg
"Ah ndio, na hadithi ilikuwa ya kusikitisha pia",neg
Ninachukia kuandika hakiki mbaya juu ya filamu - haswa zile ambazo napenda sana nyota - lakini filamu hii ni mbaya siamini kwa sekunde moja kuwa mtu yeyote angeweza kujivunia,neg
Mimi si mtengenezaji wa filamu wala sio mkurugenzi lakini ningekificha kichwa changu kwenye mchanga ikiwa ningetumia kiasi chochote cha pesa na wakati kwenye sinema hii.,neg
Kwa kifupi - hii ilikuwa upotezaji wa muda na nguvu na singependekeza mtu yeyote KUONA filamu hii.,neg
Ilikuja bure na kicheza DVD nilichonunua lakini bado nilibadilisha kitu hicho kwa sababu nilikuwa na aibu kwa Howell.,neg
na kwa sababu tu hakuna mpangilio wa,neg
"Lo, filamu mbaya namna gani",neg
"Sio ya kutisha angalau, na haieleweka wazi",neg
Haifai hata kwa thamani ya kambi!,neg
"Sikutarajia vifaa vya Oscar, lakini hii?",neg
Filamu hii (na mimi hutumia neno hilo kwa upole) ni tusi kwa umma unaokwenda sinema.,neg
Ikiwa tu mtu anayehusika nayo angelijua jinsi ya kujumuisha simulizi!,neg
"Hii inapata 1 kati ya 10, kwa sababu tu hakuna kitu cha chini",neg
"Hii ni moja ambayo sikuwa nayo, lakini niliitazama hivi majuzi kwenye Channel ya Sinema ya Fox, na nilisikitishwa sana",neg
"Victor McLaglen alikuwa mbaya hata, na Brian DonLevy alikuwa haeleweki",neg
Kitu kibaya zaidi kuliko uigizaji wa Taylor ilikuwa kuimba kwa Stanwyck.,neg
Hata squibs anaonekana mbaya,neg
Mazungumzo yanaundwa na vitu ambavyo havielewi vizuri,neg
"Kwa kweli, kaimu ni blah.",neg
"Na, Mwishowe, baada ya yote hayo, tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio Jerry Falwell.",neg
